date,portfolio_value,cash,num_positions,deployed_pct,regime,returns
2016-02-12 00:00:00-05:00,1000000.0,1000000.0,0,0.0,unknown,
2016-02-19 00:00:00-05:00,1003117.3546417047,850048.082234173,10,0.1525935840898748,unknown,0.003117354641704706
2016-02-26 00:00:00-05:00,1007812.6043776667,700165.6884555018,20,0.3052620244932734,unknown,0.00468065846357435
2016-03-04 00:00:00-05:00,1015453.9592723048,700165.6884555018,20,0.3104899714436537,unknown,0.007582118800108395
2016-03-11 00:00:00-05:00,1019897.1000422633,700165.6884555018,20,0.3134937942009171,unknown,0.004375521636788449
2016-03-18 00:00:00-04:00,1024183.3274439967,700165.6884555018,20,0.3163668361963376,unknown,0.004202607695968252
2016-03-24 00:00:00-04:00,1023846.8059004939,700165.6884555018,20,0.31614213726076723,unknown,-0.0003285754947238706
2016-04-01 00:00:00-04:00,1027781.8241595423,700165.6884555018,20,0.318760390583814,unknown,0.003843366250078306
2016-04-08 00:00:00-04:00,1025501.6795760462,705622.1527835199,20,0.31192491749478946,unknown,-0.0022185103198927303
2016-04-15 00:00:00-04:00,1033836.2392466775,586921.8973086587,28,0.4322873632904091,unknown,0.008127299873440297
2016-04-22 00:00:00-04:00,1037235.6389735452,586921.8973086587,28,0.43414796478697915,unknown,0.0032881413881802324
2016-04-29 00:00:00-04:00,1032304.127598675,641693.7111939508,25,0.3783869558996671,range,-0.004754475443738526
2016-05-06 00:00:00-04:00,1033783.2154571383,669808.6247436373,23,0.35208018980318967,range,0.001432802426067914
2016-05-13 00:00:00-04:00,1033294.8783708918,702376.418167721,21,0.3202555893095123,range,-0.00047237861762972067
2016-05-20 00:00:00-04:00,1034521.8055521357,702376.418167721,21,0.32106175587777486,range,0.0011873930732901883
2016-05-27 00:00:00-04:00,1040842.7636787379,718730.8678123439,20,0.30947219609610094,range,0.006110028897098552
2016-06-03 00:00:00-04:00,1040603.0644891169,729662.1933972742,20,0.2988083369180724,range,-0.00023029337185742627
2016-06-10 00:00:00-04:00,1040310.1025674327,735134.5426347239,20,0.2933505684310389,range,-0.00028153090422433635
2016-06-17 00:00:00-04:00,1035754.7577869876,740580.1666367038,20,0.28498502076008725,range,-0.00437883355088331
2016-06-24 00:00:00-04:00,1029657.4379242766,635142.9978646147,27,0.3831511583648419,range,-0.005886837416744006
2016-07-01 00:00:00-04:00,1039875.3078707182,716864.1972578489,21,0.31062484912184046,range,0.009923562507391015
2016-07-08 00:00:00-04:00,1044671.7995451414,716864.1972578489,21,0.3137900366699116,range,0.004612564254693918
2016-07-15 00:00:00-04:00,1047797.7924507582,716864.1972578489,21,0.31583727087157576,range,0.002992320561326478
2016-07-22 00:00:00-04:00,1050506.344735342,722211.0738040983,21,0.3125114594276462,range,0.002584995219591768
2016-07-29 00:00:00-04:00,1051511.8011333602,727590.2841188567,21,0.30805314468688644,range,0.000957115968939215
2016-08-05 00:00:00-04:00,1053873.4554327605,749566.0817640898,20,0.2887513411595613,range,0.0022459608126650377
2016-08-12 00:00:00-04:00,1053765.396428198,612572.6723347609,29,0.4186821142437271,range,-0.00010253508521862464
