date,value,cash,positions,leverage,regime_score,regime_label,drawdown
2000-01-03,100000.0,10345.672813637786,8,1.0,0.5,MILD,0.0
2000-01-04,94457.79057678005,10348.866834847711,8,0.9728895288390027,0.5,MILD,-0.05542209423219945
2000-01-05,91659.48635561153,10352.06184214831,8,0.8329743177805765,0.5,MILD,-0.0834051364438847
2000-01-06,87436.00860118224,15672.650940739526,8,0.4850883915834001,0.5,MILD,-0.1256399139881776
2000-01-07,92777.89728568729,15677.489560752183,8,0.8888948642843643,0.5,MILD,-0.07222102714312714
2000-01-10,95604.20137927213,15682.329674592764,8,1.0,0.5,MILD,-0.04395798620727873
2000-01-11,91939.53993239034,12490.408301951586,8,0.7302870029233187,0.5,MILD,-0.0806046006760966
2000-01-12,89828.54465926686,12340.76407957695,8,0.7414272329633429,0.5,MILD,-0.1017145534073314
2000-01-13,91986.94296652304,14350.12688104771,8,0.8221187252603528,0.5,MILD,-0.08013057033476959
2000-01-14,93420.18238592477,14354.557197997494,8,0.9210091192962384,0.5,MILD,-0.06579817614075233
2000-01-18,93891.82465689667,14358.988882719732,8,0.9445912328448336,0.5,MILD,-0.06108175343103329
2000-01-19,95294.57178546561,15516.644353377911,8,0.3480859339347067,0.5,MILD,-0.04705428214534389
2000-01-20,98582.03484436648,15521.434809452088,8,0.33849536532297947,0.5,MILD,-0.014179651556335156
2000-01-21,98044.15671907298,15526.226744484531,8,0.3534627150200201,0.5,MILD,-0.019558432809270162
2000-01-24,93014.16726543632,34508.81751899869,8,0.41987066863783895,0.5,MILD,-0.0698583273456368
2000-01-25,94600.49532219241,34519.47143170892,8,0.5307981630587695,0.5,MILD,-0.05399504677807592
2000-01-26,92582.42623793666,35077.72340642077,8,0.46440640320030413,0.5,MILD,-0.07417573762063344
2000-01-27,91330.07935772625,35088.55295753593,8,0.5484269768168495,0.5,MILD,-0.08669920642273748
2000-01-28,88190.72187818438,34916.6852781597,8,0.12478552252735099,0.5,MILD,-0.11809278121815615
2000-01-31,90710.23068495002,37358.73740336528,8,0.1235569381045157,0.5,MILD,-0.09289769315049984
2000-02-01,92820.8618435551,37370.27117229378,8,0.15,0.5,MILD,-0.07179138156444896
2000-02-02,93455.21085342263,37381.66020731772,8,0.15,0.5,MILD,-0.06544789146577372
2000-02-03,95340.42296529964,47987.450661804985,8,0.12431463857045554,0.5,MILD,-0.046595770347003566
2000-02-04,95679.05393945321,48002.07540867334,8,0.15,0.5,MILD,-0.0432094606054679
2000-02-07,96130.6551366058,74421.50391017953,8,0.11886827392204569,0.5,MILD,-0.03869344863394202
2000-02-08,96678.03302530416,74444.18474946644,8,0.15,0.5,MILD,-0.03321966974695839
2000-02-09,96421.43079030569,74466.87250100913,8,0.15,0.5,MILD,-0.03578569209694309
2000-02-10,97736.87893709235,69289.47711844672,8,0.1426812877642824,0.5,MILD,-0.022631210629076522
2000-02-11,97363.5511952397,62178.40654781708,8,0.14168805275697408,0.5,MILD,-0.026364488047602937
2000-02-14,96879.25030889374,38735.25029631606,8,0.5622452336095803,0.5,MILD,-0.031207496911062626
2000-02-15,99219.0145223588,31342.7599453055,8,0.32690980021865856,0.5,MILD,-0.007809854776411958
2000-02-16,100635.15444149195,20878.28941684647,8,0.4927561897690907,0.5,MILD,0.0
2000-02-17,101913.9520425608,13912.576737120284,8,0.5430216917948014,0.5,MILD,0.0
2000-02-18,102334.86390984763,14592.647434317272,8,0.4908560488464168,0.5,MILD,0.0
2000-02-22,101051.51399641758,25935.86297959573,8,0.4964785520646396,0.5,MILD,-0.01254069106458796
2000-02-23,105700.02637439093,21578.906023924093,8,0.5020193822485008,0.5,MILD,0.0
2000-02-24,106307.56340645773,21585.482452426622,8,0.5760672679388615,0.5,MILD,0.0
2000-02-25,103466.47093264177,18665.6351775749,8,0.5448420895781506,0.5,MILD,-0.026725214865035485
2000-02-28,104333.694602946,23852.914519286467,8,0.32851663648060514,0.5,MILD,-0.01856752934845117
2000-02-29,108127.88896360139,24018.29593955451,8,0.49092033516498707,0.5,MILD,0.0
2000-03-01,108558.4759668089,24025.615801174186,8,0.5311603972161628,0.5,MILD,0.0
2000-03-02,107113.94783088651,18571.00333239547,8,0.5312360002464253,0.5,MILD,-0.013306451873587873
2000-03-03,111009.24870139467,22662.380932434113,8,0.48320643586652695,0.5,MILD,0.0
2000-03-06,111309.19326233791,22697.674619041634,8,0.5031615530577584,0.5,MILD,0.0
2000-03-07,106025.78952154411,22341.320003060137,8,0.4356150063481375,0.5,MILD,-0.047466014135433235
2000-03-08,105630.98417159532,15741.960352360724,8,0.44977470400386277,0.5,MILD,-0.05101293904233014
2000-03-09,110993.37358051844,11754.6818254787,8,0.43625924149423995,0.5,MILD,-0.0028373189362277903
2000-03-10,111622.44322897233,16225.70853476942,8,0.4306650950663387,0.5,MILD,0.0
2000-03-13,106410.36448797038,16258.30093322349,8,0.4209661660127821,0.5,MILD,-0.04669382420084069
2000-03-14,102248.5359441508,28365.27457868086,8,0.24820776417782633,0.5,MILD,-0.08397869652066951
2000-03-15,97934.6628886458,38344.64738470611,8,0.2752358425841803,0.5,MILD,-0.12262570092869796
2000-03-16,100022.3216233462,38356.3333724805,8,0.15,0.5,MILD,-0.1039228426655263
2000-03-17,100886.138957875,38368.02292169878,8,0.15,0.5,MILD,-0.09618410026264916
2000-03-20,99924.43117281262,41548.9242520323,8,0.13577130374994767,0.5,MILD,-0.1047998208761965
2000-03-21,101079.06036227138,42728.73203795731,8,0.13758930541698705,0.5,MILD,-0.09445576141953098
2000-03-22,103163.32304089738,47095.401503704925,8,0.13765752681069388,0.5,MILD,-0.0757833276478519
2000-03-23,103269.96331676465,51392.672489446806,8,0.13648721606840783,0.5,MILD,-0.0748279617484644
2000-03-24,103649.01173525503,54177.26179754162,8,0.12967426365494264,0.5,MILD,-0.07143215345467145
2000-03-27,103541.12443705859,60397.39169937206,8,0.1217908550406851,0.5,MILD,-0.07239869114257287
2000-03-28,102935.99812445424,60415.79852350902,8,0.15,0.5,MILD,-0.07781987970554892
2000-03-29,100201.94693574095,56153.980804142346,8,0.12137432902319155,0.5,MILD,-0.10231362047688197
2000-03-30,98191.394084248,54527.10371506515,8,0.12453554644725323,0.5,MILD,-0.1203257047256445
2000-03-31,98898.92516964537,53352.91484337022,8,0.12644378810394466,0.5,MILD,-0.11398709516890855
2000-04-03,96604.31373842346,54669.98157736752,8,0.13149399810675572,0.5,MILD,-0.1345439954198281
2000-04-04,96097.01653274738,53436.22409451621,8,0.13608102146986872,0.5,MILD,-0.13908875533549714
2000-04-05,97172.13352685217,49547.79980807889,8,0.14017432977620872,0.5,MILD,-0.1294570274947135
2000-04-06,98184.40582180068,45494.94350107233,8,0.15,0.5,MILD,-0.12038831097439838
2000-04-07,101723.82858333408,45508.73641251472,8,0.15,0.5,MILD,-0.08867943004376924
2000-04-10,97695.50212989078,65924.57472185843,8,0.14433372675912354,0.5,MILD,-0.12476828759708355
2000-04-11,96885.30210978397,65944.56137863918,8,0.15,0.5,MILD,-0.13202668471391465
2000-04-12,95168.08047611907,61656.683160091714,8,0.14849538879224758,0.5,MILD,-0.1474108815115277
2000-04-13,94230.63756288242,58524.277961580745,8,0.15,0.5,MILD,-0.1558092186749032
2000-04-14,92013.13952665581,55896.00779937972,8,0.14145541562032296,0.5,MILD,-0.17567527761502
2000-04-17,94321.26326189064,55912.95404936334,8,0.15,0.5,MILD,-0.15499732371555064
