date,action,symbol,entry_price,current_price,pct_change
2000-05-11,expelled,QCOM,55.53788757324219,30.759733200073242,-0.4461486645579028
2000-05-11,expelled,MSFT,35.52037048339844,20.683713912963867,-0.4176943080413238
2000-05-11,expelled,AMZN,4.46875,2.7437500953674316,-0.3860139646730223
2000-05-11,expelled,PG,26.833703994750977,16.393001556396484,-0.38908912613766744
2000-05-11,expelled,INTU,26.540233612060547,13.242582321166992,-0.5010374620384188
2000-05-11,replaced_by,MSFT,20.683713912963867,20.683713912963867,0.0
2000-05-11,replaced_by,QCOM,30.759733200073242,30.759733200073242,0.0
2000-05-11,replaced_by,AMZN,2.7437500953674316,2.7437500953674316,0.0
2000-05-11,replaced_by,PG,16.393001556396484,16.393001556396484,0.0
2000-05-11,replaced_by,INTU,13.242582321166992,13.242582321166992,0.0
2000-09-19,expelled,LRCX,3.183993101119995,2.178149700164795,-0.3159062752370244
2000-09-19,replaced_by,LRCX,2.178149700164795,2.178149700164795,0.0
2001-05-11,expelled,CSCO,24.749710083007812,12.32632827758789,-0.5019607002972262
2001-05-11,expelled,ORCL,23.23661231994629,12.712677955627441,-0.45290312629974516
2001-05-11,expelled,ADBE,28.905698776245117,19.813512802124023,-0.314546485954289
2001-05-11,replaced_by,CSCO,12.32632827758789,12.32632827758789,0.0
2001-05-11,replaced_by,ORCL,12.712677955627441,12.712677955627441,0.0
2001-05-11,replaced_by,ADBE,19.813512802124023,19.813512802124023,0.0
2001-09-25,expelled,QCOM,25.455652236938477,15.120855331420898,-0.4059922255899161
2001-09-25,expelled,MU,34.63723373413086,20.723800659179688,-0.4016900766888074
2001-09-25,expelled,AMZN,0.778124988079071,0.3544999957084656,-0.5444176692184031
2001-09-25,expelled,TXN,28.88295555114746,14.902462005615234,-0.4840395755474135
2001-09-25,expelled,AMD,13.8125,9.050000190734863,-0.3447963662816389
2001-09-25,expelled,AXP,34.00783157348633,16.765281677246094,-0.507017033972937
2001-09-25,expelled,MRK,35.50984573364258,24.02646255493164,-0.32338589316459354
2001-09-25,expelled,DIS,22.025466918945312,13.289493560791016,-0.39663056362451077
2001-09-25,expelled,MS,38.75950622558594,21.16577911376953,-0.45392031078565265
2001-09-25,expelled,SLB,24.270187377929688,12.858633041381836,-0.47018814312595913
2001-09-25,expelled,BA,43.12118148803711,22.625110626220703,-0.47531329510306963
2001-09-25,expelled,GS,74.6777114868164,49.08729934692383,-0.3426780444980603
2001-09-25,expelled,CSCO,12.32632827758789,8.152846336364746,-0.3385827350397196
2001-09-25,expelled,ADBE,19.813512802124023,12.466586112976074,-0.37080384293896407
2001-09-25,replaced_by,CSCO,8.152846336364746,8.152846336364746,0.0
2001-09-25,replaced_by,QCOM,15.120855331420898,15.120855331420898,0.0
2001-09-25,replaced_by,MU,20.723800659179688,20.723800659179688,0.0
2001-09-25,replaced_by,TXN,14.902462005615234,14.902462005615234,0.0
2001-09-25,replaced_by,NVDA,0.22026950120925903,0.22026950120925903,0.0
2001-09-25,replaced_by,ADBE,12.466586112976074,12.466586112976074,0.0
2001-09-25,replaced_by,GS,49.08729934692383,49.08729934692383,0.0
2001-09-25,replaced_by,MS,21.16577911376953,21.16577911376953,0.0
2001-09-25,replaced_by,MRK,24.02646255493164,24.02646255493164,0.0
2001-09-25,replaced_by,AMD,9.050000190734863,9.050000190734863,0.0
2001-09-25,replaced_by,AXP,16.765281677246094,16.765281677246094,0.0
2001-09-25,replaced_by,HON,14.604290962219238,14.604290962219238,0.0
2001-09-25,replaced_by,BA,22.625110626220703,22.625110626220703,0.0
2001-09-25,replaced_by,SLB,12.858633041381836,12.858633041381836,0.0
2002-05-13,expelled,ORCL,11.04163932800293,6.772099018096924,-0.3866763062145977
2002-05-13,expelled,QCOM,15.641191482543945,9.00994873046875,-0.42396020529995226
2002-05-13,expelled,IBM,60.10016632080078,40.97108840942383,-0.31828660521953234
2002-05-13,expelled,NVDA,0.5111351013183594,0.25831809639930725,-0.4946187500466449
2002-05-13,expelled,BIIB,68.93000030517578,44.599998474121094,-0.352966802891887
2002-05-13,expelled,BMY,19.953388214111328,11.24315071105957,-0.4365292455389481
2002-05-13,replaced_by,ORCL,6.772099018096924,6.772099018096924,0.0
2002-05-13,replaced_by,IBM,40.97108840942383,40.97108840942383,0.0
2002-05-13,replaced_by,NVDA,0.25831809639930725,0.25831809639930725,0.0
2002-05-13,replaced_by,QCOM,9.00994873046875,9.00994873046875,0.0
2002-05-13,replaced_by,BIIB,44.599998474121094,44.599998474121094,0.0
2002-05-13,replaced_by,BMY,11.24315071105957,11.24315071105957,0.0
2002-09-19,expelled,CSCO,11.718099594116211,7.764617919921875,-0.33738249469900594
2002-09-19,expelled,INTC,17.934667587280273,8.563907623291016,-0.5224942095182874
2002-09-19,expelled,AMAT,14.505847930908203,8.667328834533691,-0.40249416126403337
2002-09-19,expelled,GE,106.74786376953125,71.48770904541016,-0.3303125091125739
2002-09-19,expelled,C,268.4932556152344,159.74732971191406,-0.40502293308685267
2002-09-19,expelled,MU,30.24660301208496,14.908648490905762,-0.5070967643887465
2002-09-19,expelled,TXN,17.11298370361328,10.433855056762695,-0.39029597424558626
2002-09-19,expelled,KLAC,26.039356231689453,14.858622550964355,-0.42937826808169455
2002-09-19,expelled,HD,29.918195724487305,18.963743209838867,-0.36614682969275747
2002-09-19,expelled,JPM,18.154441833496094,10.22572135925293,-0.43673722094909984
2002-09-19,expelled,ADBE,15.452657699584961,9.77713394165039,-0.3672846359682844
2002-09-19,expelled,MS,27.799766540527344,17.077529907226562,-0.3856952042266103
