symbol,entry_date,exit_date,exit_reason,entry_price,exit_price,pnl,return
AMD,2000-05-18,2000-05-23,position_stop,42.6463125,36.981500000000004,-1558.9485194808628,-0.1328558594602991
MU,2000-05-18,2000-05-23,position_stop,63.26896317983928,57.23257980574771,-1097.9904169693866,-0.09542409217186901
TXN,2000-05-18,2000-05-23,position_stop,43.27323683830999,39.04400764812282,-1318.4225136082084,-0.09775624610641856
AMAT,2000-05-18,2000-05-23,position_stop,30.620604101126027,26.110106820061674,-1579.7684295514582,-0.14733534538263565
ADBE,2000-05-18,2000-05-25,position_stop,28.319471331790588,26.026634683613647,-603.411457409074,-0.08099856883987622
AMAT,2000-05-23,2000-05-26,trailing_stop,26.136229988465935,28.14640217523245,969.6939656129612,0.07687306806119984
AMD,2000-05-23,2000-05-31,trailing_stop,37.018499999999996,41.41678125,1823.2646748613668,0.11878604616610625
MU,2000-05-23,2000-05-31,hold_expired,57.289841016158654,70.21505178895289,3370.5489904732417,0.2255934131349562
ORCL,2000-05-23,2000-05-31,trailing_stop,24.704373538513824,29.543192668486178,2805.0963793549495,0.19582844804504967
ADBE,2000-05-25,2000-05-31,trailing_stop,26.052674338124515,28.748728089431925,1604.322922653725,0.10344633784346541
TXN,2000-05-26,2000-06-05,hold_expired,42.66379291890814,51.183425932315565,2943.2408284613425,0.19966890964427247
ADBE,2000-05-31,2000-06-06,trailing_stop,28.777491199076177,29.532002417454375,227.7791656783885,0.026184048260690197
MU,2000-05-31,2000-06-06,trailing_stop,70.28530196583027,75.15203790384163,751.8794229035362,0.06922835645462368
AMD,2000-05-31,2000-06-07,trailing_stop,41.45821875,44.9775,710.4850524771904,0.08486329987344184
PFE,2000-05-31,2000-06-07,hold_expired,16.50659704570047,15.790786186075746,-1034.8492549198445,-0.04342571988885103
SLB,2000-06-05,2000-06-12,hold_expired,21.35283501672495,22.313118419336792,1038.5291596754898,0.04492534138255968
MU,2000-06-06,2000-06-13,hold_expired,75.22722753656183,81.42995596149736,1433.9586433515772,0.08243994399396647
ADBE,2000-06-06,2000-06-13,hold_expired,29.561549193259726,31.990421911386345,1181.6790594935349,0.08212941420134348
AMD,2000-06-07,2000-06-14,hold_expired,45.0225,41.260609375,-1267.423730395686,-0.083578002665334
ORCL,2000-06-07,2000-06-14,hold_expired,32.74751478208215,31.66590664368254,-531.022920437841,-0.03305924573525072
TXN,2000-06-12,2000-06-19,hold_expired,49.063327109568824,53.162242188497586,1612.486040320071,0.08352297572028183
MU,2000-06-13,2000-06-20,hold_expired,81.5114266528045,86.30600942848143,1416.1279818015205,0.05880872133541537
ADBE,2000-06-13,2000-06-20,hold_expired,32.02242833651029,31.858581544579035,-80.8869355596549,-0.005147854191410677
AMD,2000-06-14,2000-06-21,hold_expired,41.301890625,46.9765,2219.3594375832345,0.13736924119318092
ORCL,2000-06-14,2000-06-21,hold_expired,31.69758839119998,33.813583329069104,983.4101340446936,0.06672415931983958
ADBE,2000-06-20,2000-06-23,position_stop,31.89045606338301,29.617312705625807,-1190.3934274876285,-0.07131109549632313
BAC,2000-06-19,2000-06-26,hold_expired,12.880904355747182,12.328458065878836,-739.7108363174051,-0.0429664156012004
MU,2000-06-20,2000-06-27,hold_expired,86.39235861250192,89.47541836868058,899.8649607294655,0.035675143099202854
AMD,2000-06-21,2000-06-27,position_stop,47.0235,41.66665625,-1413.1546625882515,-0.11393970567907527
PFE,2000-06-21,2000-06-28,hold_expired,16.91306189379148,16.85102467160423,-69.68073794802888,-0.003727132472115532
AMD,2000-06-27,2000-06-29,position_stop,41.70834375,38.293343750000005,-1232.2109533838923,-0.08190207744703341
ADBE,2000-06-23,2000-06-30,hold_expired,29.646944834395818,32.020132322943454,1394.078103049412,0.08001456817214668
ORCL,2000-06-26,2000-07-03,hold_expired,32.947498288508235,30.69194400518891,-1167.487638923546,-0.0684893967839249
MU,2000-06-27,2000-07-05,position_stop,89.56493854713847,81.4299553433016,-2277.7924052421545,-0.09083893023110666
AMD,2000-06-29,2000-07-05,trailing_stop,38.331656249999995,37.231375,-442.8653670074505,-0.028730333039026848
MS,2000-06-28,2000-07-06,hold_expired,40.43008693969727,43.350591798295646,1189.9773173791689,0.07221119417707188
AIG,2000-06-30,2000-07-10,hold_expired,924.4346080042286,957.4056983556476,598.3456552797604,0.035665140688099554
PFE,2000-07-03,2000-07-11,hold_expired,17.342080793619626,17.77591536460157,409.81457489390544,0.024958629597734833
MU,2000-07-05,2000-07-12,hold_expired,81.51142603399023,92.64485946365025,3409.0806473607067,0.13657512782340228
AMD,2000-07-05,2000-07-12,hold_expired,37.268625,42.947265625,2281.591486553986,0.1523437106949881
JNJ,2000-07-06,2000-07-13,hold_expired,25.458329675688777,23.707542163054256,-1104.7722620321208,-0.06880999401572584
MRK,2000-07-10,2000-07-14,position_stop,28.170058320762596,25.1820841128093,-1759.9832579427969,-0.10610465104185776
ADBE,2000-07-11,2000-07-18,hold_expired,34.93282197983239,32.81908348581342,-1010.1318129047869,-0.060537293415340455
AMD,2000-07-12,2000-07-19,hold_expired,42.990234375,44.47775,961.4159339364351,0.034577983735405035
MU,2000-07-12,2000-07-19,hold_expired,92.73755066871641,86.06218584209469,-1234.165424442507,-0.0719920331999224
PFE,2000-07-13,2000-07-20,hold_expired,16.43884983588473,16.24195356011409,-195.84282438599618,-0.012038328578113084
JNJ,2000-07-14,2000-07-21,hold_expired,23.79523162370741,23.59572248123775,-132.24122209810434,-0.008426442139352371
AMD,2000-07-19,2000-07-21,position_stop,44.52225,40.47975,-1486.8504100293098,-0.09081975865999577
ADBE,2000-07-18,2000-07-25,hold_expired,32.85191898704986,31.143609853630046,-816.3827643473014,-0.05203072411366945
MU,2000-07-19,2000-07-26,hold_expired,86.14829108055602,80.02808253669428,-1938.78456192913,-0.0710543235052438
AIG,2000-07-20,2000-07-27,hold_expired,961.8054710082564,1019.3004187088995,971.6071782583404,0.05977710611312336
AMD,2000-07-21,2000-07-27,position_stop,40.52025,35.825828125,-1825.931160820314,-0.11587840339089706
ADBE,2000-07-25,2000-07-27,position_stop,31.1747690430784,28.30461642648315,-1411.9778905055082,-0.09209860103944278
PFE,2000-07-21,2000-07-28,hold_expired,16.416269725431473,15.768228800701673,-617.9437826791398,-0.03953644375886016
MU,2000-07-26,2000-08-02,hold_expired,80.10815065328927,75.63964386367799,-1079.0093156594362,-0.055793408700139095
AMD,2000-07-27,2000-08-02,position_stop,35.861671875,29.360312500000003,-3046.6159029569844,-0.18131779794496813
ADBE,2000-07-27,2000-08-03,hold_expired,28.332935202297534,28.8243185538051,396.61402411302925,0.017307890905274074
AMGN,2000-07-27,2000-08-03,hold_expired,46.778752480900216,47.70381216385308,271.5916012039645,0.019753833395410814
PFE,2000-07-28,2000-08-04,hold_expired,15.784004917560802,16.602885485478712,738.6872105840303,0.05181704974052315
AMD,2000-08-02,2000-08-04,trailing_stop,29.389687499999997,30.234875000000002,346.2825629024305,0.028723935904388403
AMD,2000-08-04,2000-08-08,trailing_stop,30.265124999999998,31.234375,636.9529751718892,0.03199226832864568
BA,2000-08-02,2000-08-09,hold_expired,32.43836669647693,31.114942291015858,-675.425815482466,-0.04082894856740487
KO,2000-08-03,2000-08-10,hold_expired,15.237906446986516,14.827675189688504,-670.9210380479627,-0.02698738561814296
JNJ,2000-08-03,2000-08-10,hold_expired,24.722737500855526,24.921674952475037,119.41922869607974,0.00800629184420459
MU,2000-08-04,2000-08-10,trailing_stop,72.96979369790213,74.60348553348258,267.2791757163628,0.0223748999803927
BIIB,2000-08-08,2000-08-15,hold_expired,45.87709502220154,43.978,-637.3663446775344,-0.04141707362425657
BA,2000-08-09,2000-08-16,hold_expired,31.146072798560645,30.056061090248484,-545.8276468173963,-0.03502886914084977
JNJ,2000-08-10,2000-08-17,hold_expired,24.94660909449852,24.875935476018437,-79.32683939998545,-0.002873080594183386
MU,2000-08-10,2000-08-17,hold_expired,74.67812633941902,87.9516799111654,2158.419126758027,0.1777301362841026
KO,2000-08-10,2000-08-17,hold_expired,14.842510282424557,14.508633737074897,-316.40400187685475,-0.02256198843575655
BIIB,2000-08-15,2000-08-22,hold_expired,44.022,42.3121653957367,-556.5219814809618,-0.038863173055819815
BA,2000-08-16,2000-08-23,hold_expired,30.08613218688705,32.94762878364172,1388.9143558277867,0.0950769138081966
KO,2000-08-17,2000-08-24,hold_expired,14.523149628757812,13.961708781025772,-946.1061003132193,-0.03872719500309567
JNJ,2000-08-17,2000-08-24,hold_expired,24.900823855684283,24.52331181664832,-322.4163675168556,-0.015200783766419748
AXP,2000-08-17,2000-08-24,hold_expired,36.49333661300409,34.98931730369736,-524.8306881430938,-0.04124093461956632
BIIB,2000-08-22,2000-08-29,hold_expired,42.35449872779846,45.8104153957367,1072.0852317167646,0.08157142149508384
MU,2000-08-23,2000-08-30,position_stop,89.2598836155981,80.88138253680914,-1341.0256275511927,-0.09387757119285157
MS,2000-08-24,2000-08-31,hold_expired,49.92440577102944,52.46578793647687,1452.6816885258904,0.050884574913089606
SCHW,2000-08-24,2000-08-31,hold_expired,26.539032387610508,27.82232754284627,920.2051071697324,0.048317328850104944
AXP,2000-08-24,2000-08-31,hold_expired,35.02432412441141,36.76582101882445,604.4031920230152,0.04969394664777957
BIIB,2000-08-29,2000-09-05,trailing_stop,45.85624872779846,47.1222591457367,357.95606286996883,0.027586434848766418
MU,2000-08-31,2000-09-06,position_stop,80.77929613697633,69.17889217053953,-3656.432844524022,-0.1436185324859041
