date,value,pnl,signal,circuit_breaker,spy_overnight,vix_level,regime,drawdown,n_instruments,costs
2000-10-31,50000.0,0.0,FLAT,False,-0.004918006979167555,23.6299991607666,False,0.0,0,0.0
2000-11-01,50000.0,0.0,FLAT,False,0.004825068110755781,24.280000686645508,False,0.0,0,0.0
2000-11-02,50000.0,0.0,FLAT,False,0.005365540105171984,23.920000076293945,False,0.0,0,0.0
2000-11-03,50000.0,0.0,FLAT,False,0.0026263238614763207,23.670000076293945,False,0.0,0,0.0
2000-11-06,50000.0,0.0,FLAT,False,-0.00445568623506154,24.520000457763672,False,0.0,0,0.0
2000-11-07,50000.0,0.0,FLAT,False,0.002174248258659084,24.90999984741211,False,0.0,0,0.0
2000-11-08,50000.0,0.0,FLAT,False,-0.00400213486073564,25.65999984741211,False,0.0,0,0.0
2000-11-09,50000.0,0.0,FLAT,False,-0.0073642780582586775,27.200000762939453,False,0.0,0,0.0
2000-11-10,50000.0,0.0,FLAT,False,-0.00731924760151037,28.530000686645508,False,0.0,0,0.0
2000-11-13,50000.0,0.0,FLAT,False,0.014061448507384222,29.059999465942383,False,0.0,0,0.0
2000-11-14,50000.0,0.0,FLAT,False,-0.00044937492782026744,26.809999465942383,False,0.0,0,0.0
2000-11-15,50000.0,0.0,FLAT,False,-0.007052681091450963,26.149999618530277,False,0.0,0,0.0
2000-11-16,50000.0,0.0,FLAT,False,-0.0004547879197817073,25.049999237060547,False,0.0,0,0.0
2000-11-17,50000.0,0.0,FLAT,False,-0.006518396027359263,24.809999465942383,False,0.0,0,0.0
2000-11-20,50000.0,0.0,FLAT,False,0.0013922153598813214,27.43000030517578,False,0.0,0,0.0
2000-11-21,50000.0,0.0,FLAT,False,-0.007618263743854881,26.6200008392334,False,0.0,0,0.0
2000-11-22,50000.0,0.0,FLAT,False,0.011233737598267846,27.709999084472656,False,0.0,0,0.0
2000-11-24,50000.0,0.0,FLAT,False,0.012050872880138952,26.0,False,0.0,0,0.0
2000-11-27,50000.0,0.0,FLAT,False,-0.006661975419633426,26.93000030517578,False,0.0,0,0.0
2000-11-28,50000.0,0.0,FLAT,False,0.0051426996470422814,27.63999938964844,False,0.0,0,0.0
2000-11-29,50000.0,0.0,FLAT,False,-0.007026134673374429,27.489999771118164,False,0.0,0,0.0
2000-11-30,50000.0,0.0,FLAT,False,0.006851098051879445,29.649999618530277,False,0.0,0,0.0
2000-12-01,50000.0,0.0,FLAT,False,-0.0025992682136443124,27.479999542236328,False,0.0,0,0.0
2000-12-04,50000.0,0.0,FLAT,False,0.011482915629545731,27.780000686645508,False,0.0,0,0.0
