date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions,compass_account,rattle_account,catalyst_account,efa_value,recycled_pct,n_compass,n_rattle,n_catalyst,n_efa
2000-01-03,100028.1017638411,40878.8470229775,5,1.0,0.0,0.5,False,4,74530.79015726203,19365.48455313244,6131.827053446625,0.0,0.325,4,1,0,0
2000-01-04,96556.75498717846,33300.38771849045,7,1.0,-0.034808878323653834,0.5,False,4,63975.59372507184,27586.10310433305,4995.0581577735675,0.0,0.19249979813572912,4,3,0,0
2000-01-05,96438.79118860252,36136.328140519865,8,1.0,-0.03597015037527876,0.5,False,4,63025.15777399318,27993.184193531368,5420.44922107798,0.0,0.23621061813691024,4,4,0,0
2000-01-06,95836.55044745265,38939.13338766576,9,1.0,-0.04200219358982641,0.5,False,4,59995.15052089951,30000.52991840327,5840.870008149864,0.0,0.2618660521008822,4,5,0,0
2000-01-07,98171.36015753767,43396.78271290696,8,1.0,-0.01867288153375579,0.5,False,4,64004.614540403345,27657.22821019829,6509.517406936045,0.0,0.2858380868496904,4,4,0,0
2000-01-10,99724.97925298553,45562.94941742227,7,1.0,-0.003120328054645754,0.5,False,4,68318.81411434921,24571.722726022974,6834.442412613341,0.0,0.28447906578684673,4,3,0,0
2000-01-11,97316.11590921543,43110.78784077662,6,1.0,-0.02721275429016835,0.5,False,4,69568.63021262799,21280.867520470933,6466.618176116493,0.0,0.2701135594659051,4,2,0,0
2000-01-12,97602.49628220509,43376.301451438296,6,1.0,-0.024315194540123347,0.5,False,4,67545.04163306432,23551.009431425027,6506.445217715745,0.0,0.22197964341581314,4,2,0,0
2000-01-13,99069.35924947908,50313.503223555585,5,1.0,-0.00965065187542617,0.5,False,4,68712.67581710771,22809.657948838027,7547.025483533337,0.0,0.24342505973214987,4,1,0,0
2000-01-14,99787.22787384744,50328.57730884677,5,1.0,-0.002558760695960382,0.5,False,4,69374.21586220904,22863.72541531139,7549.286596327015,0.0,0.2690584879259876,4,1,0,0
2000-01-18,100587.18783214751,48484.27346654711,6,1.0,0.0,0.5,False,4,68329.6286563573,24984.918155808155,7272.641019982066,0.0,0.26483878919264014,4,2,0,0
2000-01-19,99522.54263902042,45183.3478425612,5,1.0,-0.01071281560964696,0.5,False,4,72102.08104278626,20642.959419849984,6777.50217638418,0.0,0.2827368451932154,4,1,0,0
2000-01-20,98870.94848981821,47602.287842506295,4,1.0,-0.017192727700831512,0.5,False,4,71499.6329803771,20230.972333065176,7140.3431763759445,0.0,0.2210351756441472,4,0,0,0
2000-01-21,99473.51123676595,45759.68122465885,5,1.0,-0.011207766174442862,0.5,False,4,69269.26493663981,23340.294116427278,6863.952183698828,0.0,0.2286081754849345,4,1,0,0
2000-01-24,97441.450995141,35511.767669061606,8,1.0,-0.03140400832494732,0.5,False,4,65860.4408186459,26254.24502613585,5326.765150359241,0.0,0.25979718494490694,4,4,0,0
2000-01-25,97944.4232486116,44260.052034469285,5,1.0,-0.02637522808861574,0.5,False,4,70051.1283408462,21254.287102595,6639.007805170392,0.0,0.22678525136076674,4,1,0,0
2000-01-26,97826.47458697681,37112.7846217277,8,1.0,-0.027555768348047613,0.5,False,4,63951.25908870121,28308.29780501644,5566.9176932591545,0.0,0.22663348528330257,4,4,0,0
2000-01-27,96946.41706618416,36492.044425588996,9,1.0,-0.036305546986245905,0.5,False,4,62840.596880547935,28632.013521797868,5473.806663838349,0.0,0.26172100673387355,4,5,0,0
2000-01-28,95043.78112634522,32576.549389760483,9,1.0,-0.0551689139913515,0.5,False,4,65040.367192183505,25116.931525697644,4886.482408464072,0.0,0.2664008005154586,4,5,0,0
2000-01-31,95839.6356401084,37878.47989831166,7,1.0,-0.047285361639147254,0.5,False,4,65408.157476136555,24749.706179225082,5681.77198474675,0.0,0.21251362706953586,4,3,0,0
2000-02-01,97666.06277637198,37272.21418187935,9,1.0,-0.02906302885290696,0.5,False,4,63267.9725269885,28807.25812210158,5590.832127281903,0.0,0.22790388642634526,4,5,0,0
2000-02-02,97093.48934986045,45396.21477931915,7,0.47772903400173844,-0.034829236010343906,0.5,False,4,63216.22382561362,27067.83330734894,6809.4322168978715,0.0,0.2702658376046273,4,3,0,0
2000-02-03,98037.5068086121,46389.992779354296,7,0.47150122956107,-0.02548355427430786,0.5,False,4,64435.59389009459,26643.41400161437,6958.498916903144,0.0,0.29378614597419805,4,3,0,0
2000-02-04,97702.25466413522,47260.79002803287,5,0.48038297885618425,-0.028784370603994844,0.5,False,4,69057.84509673154,21555.291063198758,7089.11850420493,0.0,0.2955820230194375,4,1,0,0
2000-02-07,97487.02738074429,45217.06140845116,5,0.648734629613488,-0.03095838261427557,0.5,False,4,70002.03368598956,20702.434483487068,6782.559211267674,0.0,0.2500963118388486,4,1,0,0
2000-02-08,98112.37781559779,46835.71549654046,5,0.6339637065617902,-0.024690236571736874,0.5,False,4,69741.5960180097,21345.42447310703,7025.35732448107,0.0,0.22559187666115899,4,1,0,0
2000-02-09,97848.18588472437,49789.1706521489,5,0.6136675556334246,-0.02736073046943068,0.5,False,4,67781.41237731534,22598.397909586685,7468.375597822335,0.0,0.24341944858319936,4,1,0,0
2000-02-10,98915.60282667849,48035.13769943683,5,0.6190473389557751,-0.016766835660699142,0.5,False,4,68178.29826192904,23532.033909833895,7205.270654915525,0.0,0.2670571639234296,4,1,0,0
2000-02-11,97617.17542714202,48151.51942584217,5,0.6092462883137298,-0.029662273505932476,0.5,False,4,66947.41455025153,23447.03296301417,7222.727913876325,0.0,0.2727041279146929,4,1,0,0
2000-02-14,97217.01395457544,44789.74965401765,5,0.6220018708708672,-0.03363456981961618,0.5,False,4,68567.71003516814,21930.84147130467,6718.462448102648,0.0,0.2754212505326139,4,1,0,0
2000-02-15,96718.88186613903,34795.57698299048,8,0.6120759482153683,-0.03854077437134318,0.5,False,4,65015.461481687315,26484.083837003134,5219.336547448572,0.0,0.24191044563323089,4,4,0,0
2000-02-16,96794.74737023178,33370.60194836917,9,0.6084410389914382,-0.03780799434000009,0.5,False,4,64516.92208007392,27272.23499790248,5005.590292255375,0.0,0.22993140935395445,4,5,0,0
