symbol,entry_date,exit_date,exit_reason,entry_price,exit_price,shares,pnl,return,sector
GLW,2000-01-03,2000-01-04,position_stop,26.45368194580078,23.888397216796875,440.849378252985,-1131.3450272015023,-0.0970104930671579,Technology
CMCSA,2000-01-03,2000-01-04,R_STOP,9.910321235656738,9.16837215423584,201.0,-149.33276536560058,-0.07496720477110393,Unknown
AMAT,2000-01-03,2000-01-05,position_stop,22.88016128540039,20.93580436706543,602.1476450093248,-1171.3920870779943,-0.08502374148805823,Technology
C,2000-01-04,2000-01-05,R_PROFIT,194.01632690429688,201.81605529785156,23.0,179.37075305175782,0.04019624800649687,Unknown
HD,2000-01-03,2000-01-06,position_stop,37.91862487792969,34.90113067626953,522.7998925464913,-1578.0684442801366,-0.07960452709921591,Consumer
ADBE,2000-01-04,2000-01-07,R_PROFIT,14.909398078918457,16.072982788085938,301.0,349.93799745941163,0.07797663614679042,Unknown
MS,2000-01-05,2000-01-07,R_PROFIT,29.31861114501953,30.809669494628906,63.0,93.87367602539062,0.05082295140922789,Unknown
ORCL,2000-01-06,2000-01-07,R_PROFIT,19.188953399658203,20.6630916595459,28.0,41.24787127685547,0.07677012024605444,Unknown
GE,2000-01-03,2000-01-10,hold_expired,129.62652587890625,130.70663452148438,91.75670339394543,99.01545164688409,0.008324751706963129,Industrials
CMCSA,2000-01-04,2000-01-10,R_PROFIT,9.16837215423584,10.135554313659668,489.0,472.463075958252,0.10538208344623604,Unknown
AXP,2000-01-05,2000-01-10,R_PROFIT,30.245941162109375,31.7479305267334,61.0,91.56035124206542,0.04962614178805548,Unknown
GLW,2000-01-04,2000-01-11,trailing_stop,23.888397216796875,23.331907272338867,273.3363829863332,-152.38228496940366,-0.023337268691514163,Technology
AAPL,2000-01-10,2000-01-11,R_STOP,0.7322213053703308,0.6947671175003052,3006.0,-115.59328873729706,-0.052517166037086165,Unknown
AMAT,2000-01-05,2000-01-12,hold_expired,20.93580436706543,22.981901168823242,512.4672705023462,1048.045175909904,0.09768417615589678,Technology
MS,2000-01-07,2000-01-12,R_PROFIT,30.809669494628906,32.14362716674805,47.0,62.64901058959961,0.04326426391401301,Unknown
HD,2000-01-06,2000-01-13,hold_expired,34.90113067626953,36.13722610473633,427.38041760433924,527.8555999993499,0.035388407324768424,Consumer
AAPL,2000-01-12,2000-01-13,R_PROFIT,0.6531002521514893,0.7247298955917358,5626.0,397.3623739948273,0.10814517864228868,Unknown
MOLX,2000-01-10,2000-01-18,hold_expired,40.79999923706055,43.54999923706055,356.0758338592122,978.8524672789744,0.06737745224031659,Unknown
CSCO,2000-01-11,2000-01-19,hold_expired,34.45547866821289,36.33597946166992,317.16712108001275,596.1158557283662,0.05454867748480813,Technology
AVY,2000-01-18,2000-01-19,position_stop,39.98158645629883,36.64704132080078,361.0874101565463,-1204.4233544372562,-0.08342703307043373,Consumer
QCOM,2000-01-18,2000-01-19,R_PROFIT,43.071353912353516,45.413658142089844,68.0,159.2086876220703,0.05435873305725842,Unknown
THC,2000-01-12,2000-01-20,hold_expired,70.13274383544922,70.63250732421875,133.38939518312745,66.52976010639435,0.007111706479640495,Healthcare
LOW,2000-01-07,2000-01-20,R_STOP,9.37763500213623,8.860016822814941,156.0,-80.9044359741211,-0.05530372841373626,Unknown
HD,2000-01-13,2000-01-21,hold_expired,36.13722610473633,34.90113067626953,348.42367926122387,-431.0333407836415,-0.03423327028149116,Consumer
THC,2000-01-20,2000-01-24,position_stop,70.63250732421875,64.1356430053711,118.89679643357454,-772.5752511710173,-0.09199537953567229,Healthcare
PG,2000-01-21,2000-01-25,R_STOP,25.777679443359375,24.4754581451416,151.0,-196.7864160308838,-0.05055619149432391,Unknown
INTU,2000-01-24,2000-01-25,R_PROFIT,29.76141357421875,30.972776412963867,81.0,98.03938993835449,0.0406688625769312,Unknown
ADBE,2000-01-24,2000-01-25,R_PROFIT,15.033514976501465,15.638579368591309,162.0,97.85843151855468,0.04018118138266684,Unknown
AVY,2000-01-19,2000-01-26,hold_expired,36.64704132080078,36.74705505371094,531.4132440955646,52.61720901579789,0.002701820647495389,Consumer
CSCO,2000-01-19,2000-01-26,hold_expired,36.33597946166992,34.67790222167969,321.5716619364231,-533.5122253445535,-0.0456593509950753,Technology
GE,2000-01-21,2000-01-28,position_stop,124.5494613647461,115.79967498779297,81.28689082676638,-711.3242168717431,-0.07025952807074963,Industrials
COST,2000-01-26,2000-01-28,position_stop,33.69621276855469,30.731616973876953,307.86814395182984,-913.012473018786,-0.08800976581692377,Consumer
AMGN,2000-01-26,2000-01-28,R_STOP,43.37342834472656,40.3719482421875,78.0,-234.19344799804688,-0.06922395155567893,Unknown
