date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions
2018-01-02,100010.12268814488,14741.0250968181,5,1.0,0.0,0.685390014006527,False,5
2018-01-03,101243.28295931913,14743.10170948055,5,1.0,0.0,0.6940657724057653,False,5
2018-01-04,100685.1275760629,14745.178614681687,5,1.0,-0.00553352550492125,0.7149022717478615,False,5
2018-01-05,101144.86447805511,14747.255812462723,5,1.0,-0.000992615767758468,0.7110600111218133,False,5
2018-01-08,101330.27144186148,14749.333302864876,5,1.0,0.0,0.7110297441478242,False,5
2018-01-09,101461.30635906644,19825.3643812584,5,1.0,0.0,0.7197251237076403,False,5
2018-01-10,100848.45637576966,19828.15724012957,5,1.0,-0.006122398757449901,0.7140526557399899,False,5
2018-01-11,102325.75411915554,19830.95049243919,5,1.0,0.0,0.6949530609026202,False,5
2018-01-12,103219.01902328101,19833.74413824269,5,1.0,0.0,0.6925453129116681,False,5
2018-01-16,102221.35191888243,19836.5381775955,5,1.0,-0.009692604649979552,0.6933623617883797,False,5
2018-01-17,103100.94256303989,16005.969434669967,5,1.0,-0.0010936161359385475,0.6586318039857295,False,5
2018-01-18,102901.05604174046,16008.2242438562,5,1.0,-0.0031023138347646612,0.6294307356551833,False,5
2018-01-19,103888.26046955703,16010.479370684205,5,1.0,0.0,0.6355140159499665,False,5
2018-01-22,104412.29969751896,16012.734815198726,5,1.0,0.0,0.6378418201983094,False,5
2018-01-23,103582.64662391532,16014.990577444518,5,1.0,-0.007967536758212036,0.6388103080830232,False,5
2018-01-24,102644.7851240998,13080.802629026928,5,1.0,-0.01688273081180914,0.6239980011646759,False,5
2018-01-25,102323.92858748244,13082.645361143319,5,1.0,-0.020018846900300494,0.6418796121805924,False,5
2018-01-26,103732.3542444521,13084.48835285094,5,1.0,-0.006529771365534566,0.605159139522301,False,5
2018-01-29,102085.27634738364,13086.331604186362,5,1.0,-0.022304523587905366,0.5549926065306046,False,5
2018-01-30,100282.77841301783,13088.175115186157,5,1.0,-0.03956779811831955,0.514178145040113,False,5
2018-01-31,100678.72065278405,18668.108789174592,5,1.0,-0.03572468715654083,0.5230803006773737,False,5
2018-02-01,100882.79457081396,18670.93863741168,5,1.0,-0.03383064050092964,0.5191041636487617,False,5
2018-02-02,98883.99012644033,30689.77973445618,4,1.0,-0.052971503685875464,0.45512156635721396,False,4
2018-02-05,95860.85317002368,37628.94547603988,3,0.784861100325957,-0.08191005050540213,0.39294761141172563,False,3
2018-02-06,96203.27142289467,22580.059383339663,4,0.7300060157578506,-0.07866891184523657,0.4176008445213692,False,4
2018-02-07,96258.5287738491,24350.565138818558,4,0.7289723892154489,-0.07809617801971,0.40987918783541893,False,4
2018-02-08,92528.78684543006,45605.32305887691,3,0.15,-0.11383102692605478,0.3571099335206854,True,3
2018-02-09,92707.92855762492,45612.23624673742,3,0.15,-0.11216383856769731,0.37189918124888893,True,3
2018-02-12,93819.67326273616,60420.45918869037,3,0.15,-0.10148808252272094,0.3865441097327052,True,3
2018-02-13,93952.47224813765,60429.61816305945,3,0.15,-0.10026583509872776,0.39139314260638286,True,3
2018-02-14,94797.9117710034,65498.73519676474,4,0.15,-0.09215254268244516,0.40213191138274695,True,4
2018-02-15,95144.45769481217,63042.89529728379,4,0.15,-0.08884526124546448,0.41923989987410726,True,4
2018-02-16,94953.45321466646,63052.45179966615,4,0.15,-0.09068283155015931,0.42094402848637036,True,4
2018-02-20,95296.16038906942,63194.98832826089,4,0.15,-0.0873929407531576,0.4168834037923108,True,4
2018-02-21,95110.57937388834,63204.567886015415,4,0.15,-0.08917818981441704,0.41202384144646415,True,4
2018-02-22,95212.34553081755,63631.6222066618,4,0.15,-0.0881911606236589,0.4133626641426019,True,4
2018-02-23,95925.48747718161,63863.263500148816,4,0.15,-0.08135826531004071,0.4390981254413007,True,4
2018-02-26,96231.10626075714,63872.94435993336,4,0.15,-0.07844740821028967,0.4498563161604642,True,4
2018-02-27,95823.20035955266,63835.27243457353,4,0.15,-0.0823420670183984,0.4319699016923138,True,4
2018-02-28,95827.67441098233,63844.949051267984,4,0.15,-0.08231120211056214,0.42547152137155503,True,4
2018-03-01,95686.34558284187,63998.36475837663,4,0.15,-0.08365635867175698,0.40548723679306986,True,4
2018-03-02,95987.12303305339,63774.51687063796,4,0.15,-0.08077244353478397,0.41542328855736965,True,4
2018-03-05,96399.11195954282,63784.31081430024,4,0.15,-0.07683943084177723,0.44200917448629123,True,4
2018-03-06,96809.33936939086,64377.286882695145,4,0.15,-0.0729002135643658,0.4799286025520924,True,4
2018-03-07,96839.89166479479,64387.17339460927,4,0.15,-0.0726187869303146,0.46591651882124074,True,4
2018-03-08,96867.1914994722,64713.58681445091,4,0.15,-0.07234466274562874,0.4759257006868925,True,4
2018-03-09,97598.28110217921,64896.983144570324,5,0.15,-0.06534198853302019,0.5207036267511782,True,5
2018-03-12,97343.53190905643,64906.94946698181,5,0.15,-0.06779597931834679,0.5181198631944203,True,5
2018-03-13,97178.19675380395,64569.2592231818,5,0.15,-0.06936701731523245,0.5048304112679559,True,5
2018-03-14,97161.55873104732,71694.24984455417,4,0.15,-0.06953395217899398,0.49918383357227425,True,4
2018-03-15,97099.71835830389,70914.14647958204,5,0.15,-0.0701252006207166,0.5004082320616945,True,5
2018-03-16,97115.16835470745,74511.45123894938,4,0.15,-0.0699890834328323,0.4933225528680787,True,4
2018-03-19,96830.0422435802,74522.89406896108,4,0.15,-0.07272802443724834,0.46695726732386983,True,4
2018-03-20,97153.72067684654,73158.61679084876,4,0.15,-0.06959713997376593,0.4748435216012463,True,4
2018-03-21,97077.6444980186,73169.85186414163,4,0.15,-0.07035464494196747,0.4749941867368373,True,4
2018-03-22,96646.98977046812,72686.96190901512,4,0.15,-0.07445375749367954,0.4117447078699127,True,4
2018-03-23,95922.19754436867,84131.14995672762,3,0.15,-0.08140063564192498,0.384570275933198,True,3
2018-03-26,96376.71269990978,84144.07009761383,3,0.15,-0.0770838987534209,0.39328537531503116,True,3
2018-03-27,96055.50644074405,84156.99222266454,3,0.15,-0.08016024363099533,0.3761813075789536,True,3
2018-03-28,95870.38837258024,74551.31478265268,3,0.15,-0.08192416187222124,0.3771537143943173,True,3
2018-03-29,96242.7652679507,71786.05000522053,3,0.15,-0.07831582106928614,0.39930895608844164,True,3
2018-04-02,95385.63517805895,71797.07429147133,3,0.15,-0.08655770279835703,0.3623120743125342,True,3
2018-04-03,95687.71009697435,71808.10027073753,3,0.15,-0.08366462193743252,0.36599654120499175,True,3
2018-04-04,95960.73123163499,71819.1279432791,3,0.15,-0.08104980124891012,0.3758997357836957,True,3
2018-04-05,96275.50061086372,72367.42280868537,3,0.15,-0.07802023066161498,0.3872412945776074,True,3
2018-04-06,95470.53178875083,72001.89289720813,3,0.15,-0.08571743784344835,0.3531926149252161,True,3
2018-04-09,95370.18503261314,72012.9503307602,3,0.15,-0.08670599272963822,0.3571233405117764,True,3
2018-04-10,95781.12181879579,72024.00946241814,3,0.15,-0.08277029655909847,0.3851414397299016,True,3
2018-04-11,95614.34098926233,72035.07029244272,3,0.15,-0.0843676421628565,0.38630621195143067,True,3
2018-04-12,95684.9518175684,71496.86017230572,3,0.15,-0.0836727352836034,0.3992117839359217,True,3
2018-04-13,95428.16417975955,71919.0249106338,3,0.15,-0.08613810996432793,0.3968525009847335,True,3
2018-04-16,95716.42344778514,61678.86908818321,4,0.15,-0.0833786380826116,0.4073404399844275,True,4
2018-04-17,96780.86290328285,61688.34120022175,4,0.15,-0.0731801610385966,0.43274710182223053,True,4
2018-04-18,96615.39548357145,61697.81476690607,4,0.15,-0.07476492523626811,0.44027602185658127,True,4
2018-04-19,96161.51879234774,62623.40862750892,4,0.15,-0.07907197455980718,0.429356051309006,True,4
2018-04-20,95783.9082527348,63890.49317453968,4,0.15,-0.08271994209235299,0.4661129531174392,True,4
2018-04-23,95287.45013388802,63893.31220846998,4,0.15,-0.08746411690910345,0.4817174923272354,True,4
2018-04-24,94739.9349465404,74131.17306182117,3,0.15,-0.09271906513970861,0.44891470333862526,True,3
2018-04-25,94505.74733273948,74142.55749196996,3,0.15,-0.09498820372370297,0.4661574058956197,True,3
2018-04-26,94742.23473835521,72197.89399890034,3,0.15,-0.09268008937266545,0.4792752320739853,True,3
2018-04-27,94729.4301111004,71014.4825586884,3,0.15,-0.09281439869083757,0.4733205860512215,True,3
2018-04-30,94674.89111182437,71025.3883542242,3,0.15,-0.09336365935307551,0.4798736278737451,True,3
2018-05-01,94438.19903218039,65006.34516926039,3,0.15,-0.09562098861301398,0.4995023299550537,True,3
2018-05-02,94572.34191483035,65016.66363674757,3,0.15,-0.09434019055908084,0.47827220324388253,True,3
2018-05-03,94590.38578376581,65971.61310522759,3,0.15,-0.09414279254751202,0.4710457196102217,True,3
2018-05-04,94871.97306752193,62183.47147836748,3,0.15,-0.091450662888409,0.4747207448003888,True,3
2018-05-07,95022.50832075259,62193.34187066563,3,0.15,-0.09002446834611647,0.47289154999367167,True,3
2018-05-08,94982.4577284978,62991.1947225658,4,0.15,-0.09039516006903534,0.5019761289250118,True,4
2018-05-09,94790.77710890096,54023.05270428465,5,0.15,-0.0922405755551455,0.5039667239827557,True,5
2018-05-10,95408.74412417904,56271.3997460998,5,0.15,-0.08629162058312394,0.5170399545290475,True,5
2018-05-11,95467.2356911976,57038.953916647166,5,0.15,-0.0857533518313137,0.5230851914634395,True,5
2018-05-14,95353.01117392248,57048.007718856155,5,0.15,-0.08685128430344255,0.5400996023696267,True,5
